_id,code,name,telephone,email,client_address1,client_address2,client_address3,client_city,client_postcode,remp_client_contactISbb_encore_client_contactsID,debtorISbb_usersID_IN_Debtors,vatableYN,calendar_color,logoISfile,waste_coordinatorISbb_usersID_IN_Staff,xero_account_number,sic_code,uninvoiced_total_thresholdNUM,archivedYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
110,OD002,"OD Developments and Projects","020 7562 7800",info@od-group.com,"9th Floor","55 Old Broad Street",,London,"EC2M 1RX",,,1,#669933,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/110/OD Projects logo.PNG",9,ODD001,41201,1.00000000,0,fa7d29403ffe8af1bc75d1e52feba377,0,9,"2019-07-18 08:31:50",9,"2020-11-20 08:29:39"
111,OVE02,"Overbury North","020 7307 9000",danny.parmar@overbury.com,"207 Fort Dunlop","Fort Parkway",,Birmingham,"B24 9FD",,,1,#FFCC66,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/111/Logo.png,9,OVN001,41201,1.00000000,0,ccbc0edd19249ede96f01e2d4feb52ea,0,9,"2019-08-05 13:48:24",9,"2020-08-25 10:32:28"
112,HMS01,"HMS Holdings","01782 898122",neil@hmsholdings.co.uk,"HMS House, Birch Street","Northwood, Hanley","Stoke On Trent",Staffordshire,"ST1 6PZ",,,1,#990033,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/112/Logo.png,9,HMS01,41201,1.00000000,0,b189415a966e28a708cf764833d52b6c,0,9,"2019-09-16 09:45:33",31,"2019-11-18 11:57:28"
113,OM001,OptiMorph,"01233 713 706",enquiries@optimorph.co.uk,"Raywood Office Complex","Leacon Ln,",Charing,Ashford,"TN27 0ET",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/113/Optimorph.jpg,9,OPM01,41201,1.00000000,0,f974fa59bd5e88d9db17a757f81a8e5d,0,9,"2019-09-16 11:26:28",32,"2019-11-28 12:09:51"
114,Thrid001,"Third Way","020 3613 4736",hello@thirdwayinteriors.com,"Morelands,",,"Old Street",London,"EC1V 9HL",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/114/Thirdway.png,9,TWC01,41201,1.00000000,1,6cda2d104da820141f597a0c9e5c341b,0,9,"2019-09-25 16:15:37",32,"2020-02-04 09:03:52"
115,MM001,"M Moser","020 7621 5400",london-enquiry@mmoser.com,"St Magnus House","3 Lower Thames Street",,London,"EC3R 6HD",,,1,#CC9966,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/115/Logo.png,9,MMA01,41201,1.00000000,0,eaa9608f11e4b6e287ebe0011c7e89d8,0,9,"2019-10-08 09:42:24",32,"2019-11-28 11:49:17"
116,PAR001,"Paragon BC /COMMONWEALTH PALL MALL","020 7125 0112",SteffenBacker-Rowley@paragonbc.co.uk,"PKS Immobilien GmbH & Co KG c/o Farmer ukre 17 The Granary, Hones Yard","1 Waverley Lane",Farnham,Surrey,"GU9 8BB",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/116/Paragon.png,,PAR01,41201,1.00000000,1,bfd63207a85f3c44ec1ccb863cfc2b98,0,9,"2019-10-11 13:04:31",32,"2019-12-19 12:33:44"
117,ISG001,ISG,"020 7247 1717",email@isgplc.com,"ISG Plc","Boleyn House","St. Augustines Business Park,",Whitstable,"CT5 2QJ",,,1,#FF0000,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/117/Logo.gif,9,ISG01,41201,1.00000000,0,f5f66f9d759dbca5ae757ee941d28f58,0,9,"2019-10-29 14:45:31",32,"2019-12-05 15:18:47"
118,EW001,EnviroWaste,"020 3773 1132",www.envirowaste.co.uk,"Enviro Waste London Ltd","First Floor Village Hosue","Leyton Industrial Village",London,"E10 7QP",,,1,#FFCC66,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/118/Enviro Waste Logo.png",,ENVWL01,41201,1.00000000,1,d520bdb6cb824b04e6739aa3ca090418,0,32,"2019-11-19 12:06:46",32,"2019-12-19 12:32:51"
119,VERT001,Verte,"0207 427 6080",admin@verteltd.com,"Impact Hub Islington","27 Dingley Place",,London,"EC1V 8BR",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/119/Verte.png,,VERT01,,0.01000000,1,6ea670c6158084ee2fa0ecfbeac68a0e,0,9,"2019-12-19 09:58:10",32,"2020-01-20 16:57:19"
120,QU001,Quarme,"020 7582 0748",mail@quarme.com,"7 Bishops Terrace",,,London,"SE11 4UE",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/120/GQA_Logo_Website.jpg,,,,0.01000000,1,6f4e8da1bba3e3afe1056595ad5e4514,0,9,"2019-12-24 09:42:36",32,"2020-01-20 16:56:54"
121,Arch001,"Admiralty Arch","020 3675 7000",sross@admiraltyarch.co.uk,"Admiralty Arch","The Mall",,London,"SW1A 2WH",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/121/AdmiraltyArch-2-1200x900.gif,,ADM001,,0.01000000,1,fe49f2bb71ac79230bff83a29e38441c,0,32,"2020-01-02 09:49:30",32,"2020-01-16 09:48:57"
122,MP001,"Metals & Plant Ltd",07834622625,danielmacpherson@metalsandplant.co.uk,"Unit 12,","Bailey Drive,",,Sheffield,"S21 2JF",,,1,,,9,MPL001,,0.01000000,1,7ac2c9516b5e42062bf8d01c416b945c,0,32,"2020-01-03 11:12:26",32,"2020-01-09 14:48:33"
123,MC001,McLaren,"01277 205 800",Chris.Walter@mclarengroup.com,"McLaren Site Offices","Silver Carpark","Engineers Way",London,"HA9 0WS",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/123/MCLAREN-min.png,9,MCL001,,0.01000000,1,d62ec48c30ec7d2a0b82fec6dc944907,0,9,"2020-01-06 10:55:10",32,"2020-01-16 11:43:35"
124,BCL001,"Blackburn & Co",02030029227,seb@blackburnltd.com,"1 Clink Street",,,London,"SE1 9DG",,,0,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/124/xBlackBurnLogo.jpg.pagespeed.ic.15Ek8AmDlB.jpg,,BLK001,,0.01000000,1,a708ca0a89c468f24ebfb838d0aa2b68,0,32,"2020-01-23 13:12:07",32,"2020-01-23 16:10:27"
125,ODC001,"OD Construction Ltd","020 7562 7800",chris.edwards@od-group.com,"9th Floor","55 Old Broad Street",,London,"EC2M 1RX",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/125/dvML0VGp.jpeg,9,ODC001,,1.00000000,0,7760720799e63400a7d14d0833354fc7,0,32,"2020-02-12 11:26:40",32,"2020-06-25 12:14:44"
126,ODS001,"OD Solutions UK Ltd","020 7562 7800",info@od-group.com,"9th Floor","55 Old Broad Street",,London,"EC2M 1RX",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/126/OD Solutions.png",9,ODS001,41201,1.00000000,0,f21ee154c8a090cf982e0d9144eecef0,0,32,"2020-02-14 15:14:01",32,"2020-09-21 15:13:47"
127,EHP001,"Emerald Hill Properties Limited","07748 900896",,"C/O Mayfair Trust Management","AG Forchweg 9",Zurich,SWITZERLAND,,,,1,,,,EHP001,,,1,d8c676bf6e46859ae8e7bc5cc45f1dee,0,9,"2020-03-09 09:37:19",48,"2020-09-24 14:24:16"
128,JAI001,"J & I Chasers Ltd","07743 894 028",jandichasers@outlook.com,"Alva House","Valley Drive","Marling Cross",Kent,"DA12 5UE",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/128/JI-Ltd-NEW-Logo-version-d-outlined-v2-190x300.jpg,9,JIC001,41201,0.01000000,0,cb45adf889d5b584c3ee9b90330a461f,0,32,"2020-03-10 14:07:00",32,"2020-06-05 13:23:49"
129,AM001,"Ambit Moat Ltd","020 3176 177",info@ambitmoat.com,"Ambit Moat Ltd","Francis House",,London,"SW1P 1DE",,,1,#9999FF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/129/Logo.png,9,Amb001,96090,1.00000000,0,e61cd17d526d256ff3ab3ea891cb90d7,0,9,"2020-04-16 09:58:10",32,"2020-05-29 14:33:21"
130,DAW001,"Dartford Warbler",,,"54 Oxford Road",Denham,,London,"UB9 4DN",,,1,#660066,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/130/Logo.png,,DAR001,41201,,0,43c03fe9abc9e6680f6568612556e7da,0,9,"2020-04-29 09:44:12",48,"2020-09-24 14:19:58"
131,CANVAS001,"Canvas Projects Ltd",,,"Canvas Projects Ltd","67 Burwood Road","Walton on Thames",Surrey,"KT12 4AE",,,1,#CC6633,,9,CAN001,41201,1.00000000,0,ed1ec2f459c2f42c2f62a41cce91aa63,0,9,"2020-04-29 09:48:36",32,"2020-05-18 16:57:24"
132,ITC001,"ITC Concepts","020 8296 1800",info@builtbyitc.com,"ITC Concepts Ltd","Annecy Court,  Ferry Works Summer Road",Ditton,Surrey,"KT7 0QJ",1144,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/132/Logo.png,9,ITC001,71129,,0,8b2e80a48cca58ee39228569980540fb,0,9,"2020-05-28 14:20:39",9,"2020-06-24 09:43:17"
133,80001,"800 Group","01707 663075",info@800group.net,"Cranborne Road","Cranborne Road","Potters Bar",Hertfordshire,"EN6 3JN",,,1,#CC0000,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/133/Logo.jpg,9,GRO001,41201,0.01000000,0,0a5b79f0c27534c295d190edf0499797,0,9,"2020-06-02 10:27:06",9,"2020-11-20 08:30:32"
134,MLS001,"Milestone Contracting","01895 602 660",Michael.Edward@milestone-uk.co.uk,"6 Beauchamp Court","10 Victors Way",Barnet,,"EN5 5TZ",,,1,#33CCFF,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/134/Milestone.jpg,9,MIL001,41201,1.00000000,0,85673c6587f4ab26d4a6bb6d6694b1aa,0,32,"2020-06-05 13:01:13",9,"2020-06-24 09:42:58"
135,CE001,"Charles Edward","020 3929 6509",hello@charlesedwardltd.com,"Level 4","27-32 Old Jewry",,London,"EC2R 8DQ",,,1,#CC9933,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/135/CE.jpg,9,,,1000.00000000,0,c7a5322619f51a4045ec829d97f2187e,0,32,"2020-06-05 13:06:28",32,"2020-06-05 13:06:28"
136,ISGSAIN001,ISG/Sainsbury's,"020 7247 1717",email@isgplc.com,"ISG Plc","Boleyn House","St. Augustines Business Park,",Whitstable,"CT5 2QJ",,,1,#FF0000,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/136/ISG Sainsburys logo x 2.PNG",9,ISG01,41201,1.00000000,0,f2182b8853ae7dfba4adecd36438a6a1,0,9,"2020-06-05 13:31:06",9,"2020-06-05 13:40:10"
137,OVEMAJ001,"Overbury Major Projects","020 7307 9000",,"77 Newman Street",Fitzrovia,,London,"W1T 3EW",,,1,,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/137/Logo.jpg,9,,41201,,0,c54e12a5071de1b9804684b94d8518b4,0,9,"2020-06-08 12:40:50",9,"2020-06-08 12:40:50"
138,STA001,"Acre Invest Luton Ltd",,,"C/O Acre Invest Luton Ltd","Vaugan Chambers, Vaughan Road",,Harpenden,"AL5 4EE",,,1,#0066FF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/138/Acre Invest.jpg",9,ACR001,41201,,0,6f188ba58c966a37fd3e8f6fb3b6857e,0,9,"2020-06-09 16:01:20",32,"2020-10-01 13:38:12"
139,LAT001,"Latitude Contract Interiors Ltd","01992 535294",info@latitudeinteriors.com,"6 Manor Road",Haverhill,,Suffolk,"CB9 0EP",,,1,#00CC99,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/139/LAT.png,9,LAT001,41201,0.01000000,0,e752aeef9f3639e6e007b3a3f50c8772,0,32,"2020-06-10 15:38:21",9,"2020-11-20 08:30:17"
140,Noun001,"Nounsley Consulting Services LTD",,asharrocks@nounsleycs.com,"47 Butt Road",,,Colchester,"CO3 3BZ",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/140/Nounsley Consulting.jpg",9,KIW001,41201,0.01000000,0,16882090bc5662e1f5ecce47be20955f,0,32,"2020-07-15 15:02:04",32,"2020-07-20 09:13:39"
141,CLS001,"Construction Logistic Services","0207 157 9520",info@constructionlogisticsservices.com,"17 Rosedale",Ashtead,,Surrey,"KT21 2JJ",,,1,#CC3399,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/141/CLS.png,9,CLSL,41201,1000.00000000,0,caada08b4eea51a88194d70d1e29ab23,0,9,"2020-08-25 15:01:05",32,"2020-09-03 11:30:32"
142,MAKONE001,"Make One Group","0207 464 4280",,"1 Royal Exchange Avenue",,,London,"EC3V 3LT",,,1,#FFCCCC,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/142/Make One.jpg",9,MAKEON001,41201,1.00000000,0,de8a91239c90ab28585e9fe31dcff693,0,32,"2020-08-27 11:34:16",9,"2020-08-28 14:26:38"
143,RED001,"RED Construction","0207 100 7020",ckeating@redconstruction.co.uk,"Estate Office","Oakley House","Church Lane",Oakley,"MK43 7ST",,,1,#00CCFF,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/143/RED Construction.png",9,REDCON001,41201,1000.00000000,0,8d9fd0da9cf9c8e02fbc6219292e3cad,0,32,"2020-08-28 09:42:37",9,"2020-08-28 14:38:07"
144,SIMP001,"Simpson Studio","0203 884 3500",info@simpson-studio.com,"18a Parsons Green Depot",,,London,"SW6 4HH",,,0,#FFCC99,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/144/Simpson Studio.jpg",9,WAG001,,1.00000000,0,8d56f8bb8e19aa1fe70179345f56d3f4,0,32,"2020-09-03 13:15:40",9,"2020-09-15 15:52:54"
145,PAY001,"PAYE Stonework and Restoration","020 3889 1684",info@paye.net,"Stationmasters House","Mottingham Station Approach",,London,"SE9 4EL",,,1,#660033,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/145/PAYE.tiff,9,PAYE001,43999,1.00000000,0,1a8c1dd92645ef8fd25c8fef55f9951f,0,9,"2020-09-08 08:00:50",32,"2020-12-07 10:55:39"
146,CAST001,"Cast Interiors","020 8895 4000",hello@castinteriors.uk,"Cast Fit Out Limited","1 Ropemaker St,",,London,"EC2Y 9HT",,,1,#33CC99,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/146/Cast Interiors.png",9,CAS001,41201,1.00000000,0,4d38f90710f37144bfd780d828d1ddfe,0,32,"2020-09-08 16:00:11",9,"2020-10-06 16:17:33"
147,AIRED001,"ACRE INVEST Redbourne",,,"Vaugan Chambers, Vaughan Road",,,Harpenden,"AL5 4EE",,,1,,"portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/147/Acre Invest.jpg",9,REDBOU001,41201,,0,62132cae6c3d5b0b3ee87b092a8d757a,0,32,"2020-09-30 14:33:34",32,"2020-10-01 13:38:39"
148,SBA001,"Spice Bazzar Restaurant and Takeaway","0116 270 5110 / 07930 221352",abdulgiash@gmail.com,"Maa Restaurants Limited","326 Welford Road",,Leicester,"LE2 6EG",,,1,#990000,,9,MAA001,56101,,0,aa3ec8c118f3888f0c8e768dda728b9c,0,9,"2020-10-01 13:42:19",9,"2020-11-30 11:40:45"
149,TJM/MSA,"TJM/MSA Properties Limited",,tjmgroup@btinternet.com,"10 Cheyne Walk",,,Northampton,"NN1 2PT",,,1,#33CC99,,9,MSA001,41201,,0,ff04361c327d112f55d96bdca0864166,0,9,"2020-10-16 14:18:12",9,"2020-10-16 14:18:12"
150,MOD001,"Modus Workspace","020 7828 9009",info@modygroup.com,"Gordon House","Greencoat Place",,London,"SW1P 1PH",,,1,#CC6666,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/150/Modus.png,9,MOD001,41201,0.01000000,0,9a96e14fd020169030623ab14a53b920,0,32,"2020-10-19 14:01:50",32,"2020-10-20 10:49:10"
151,Two001,"Two Ltd","020 7828 9009",hello@wearetwo.com,"Gordon House","Greencoat Place",,London,"SW1P 1PH",,,1,#99CCCC,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/151/Two.png,9,TWO001,41201,0.01000000,0,f5201b0c124c192e7d7439a26783cc11,0,32,"2020-10-19 14:05:34",32,"2020-10-20 10:48:50"
152,OVERSOU,"Overbury Southern","01344 386600",,"Maxis 1","Western Road",,Bracknell,"RG12 1RT",,,1,#FFCC33,portal/encore/UserFiles/SysDocs/bb_encore_clients/10000/152/Logo.jpg,9,,41201,,0,2ff9b5b73e42879d3dc0dc2cbba6e8b7,0,9,"2020-11-03 15:59:21",9,"2020-11-03 15:59:22"
153,MICH001,"Michael Engineering LTD",07432684292,mverseckas@yahoo.com,"95 High Street","Office B",,"Great Missenden","HP16 0AL",,,1,#CC00FF,,9,MIC002,41201,1.00000000,0,01f45d752f3363e2522b4566bcd606da,0,9,"2020-11-20 07:36:45",9,"2020-11-24 10:42:12"
154,APR001,"APR Group Ltd",02038026727,info@aprgroup.co.uk,"Glen Lynn","Upper Sunbury Road",Hampton,,"TW12 2DL",,,1,#CC3300,,9,APR001,41201,1.00000000,0,412be47b42235e6d659d60df228ae5c7,0,32,"2020-11-25 15:13:42",9,"2020-12-04 08:36:33"
