_id,project_title,project_job_number,bb_encore_clients.name,client_project_number,accreditationISbb_encore_accreditation_typesID,client_contact_1ISbb_encore_client_contactsID,client_contact_2ISbb_encore_client_contactsID,client_contact_3ISbb_encore_client_contactsID,client_contact_4ISbb_encore_client_contactsID,client_contact_preferred_email_recipient_numberNUM,client_contact_email_listISsmallplaintextbox,project_detailISsmallplaintextbox,internal_notesISsmallplaintextbox,external_notesISsmallplaintextbox,feedback_service_commentsISsmallplaintextbox,feedback_continuous_improvementISsmallplaintextbox,feedback_positive_aspectsISsmallplaintextbox,main_supplierISbb_encore_suppliersID,main_supplier_notesISsmallplaintextbox,main_supplier2ISbb_encore_suppliersID,main_supplier2_notesISsmallplaintextbox,main_supplier3ISbb_encore_suppliersID,main_supplier3_notesISsmallplaintextbox,site_address1,site_address2,site_address3,site_city,site_postcode,services_start_date,project_end_date,project_length,project_budget,floor_area_m2NUM,forecast_adjust_percentNUM,Senior_Project_ManagerISbb_encore_client_contactsID,Project_ManagerISbb_encore_client_contactsID,Shell_And_Core_Contractor,Contracts_Manager,Contracts_Manager_Contact_DetailsISsmallplaintextbox,Contracts_Manager_Email_Address,Strip_Out_ProjectYN,Strip_Out_Contractor,Strip_Out_Contact,Strip_Out_Contact_DetailsISsmallplaintextbox,Strip_Out_Contact_Email_Address,Document_Controller,Document_Controller_Contact_DetailsISsmallplaintextbox,Document_Controller_Email_Address,Waste_Contractor,Waste_CoordinatorISbb_usersID_IN_Staff,encore_operations_managerISbb_usersID_IN_Staff,encore_operations_directorISbb_usersID_IN_Staff,considerate_constructor_schemeYN,BREEAM_Assessor,BREEAM_Assessor_AddressISsmallplaintextbox,BREEAM_Assessor_Contact_DetailsISsmallplaintextbox,BREEAM_rating_Target,BREEAM_dashboard_targetNUM,SKA_Assessor,SKA_Assessor_Contact_DetailsISsmallplaintextbox,SKA_rating_Target,PCEA_requiredYN,PCEA_sent_date,waste_min_opt_demolitISLIST_Client_Encore_Both_Other,waste_min_opt_purchISLIST_Client_Encore_Both_Other,waste_min_opt_storageISLIST_Client_Encore_Both_Other,waste_min_opt_handlingISLIST_Client_Encore_Both_Other,waste_min_opt_materialsISLIST_Client_Encore_Both_Other,waste_min_opt_material_suppISLIST_Client_Encore_Both_Other,waste_min_opt_proj_natureISLIST_Client_Encore_Both_Other,remp_additional_pdf01ISfile,override_client_color,procurement_sheetISfile,rate_cardISfile,send_automated_emailsYN,uninvoiced_total_thresholdNUM,non_remp_projectYN,archive_projectYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
153,"Berlin - Kilmarnock (2017)",DSG0072,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,ecbaa5ff1c532b53914ca11850394051,0,1,"2016-07-05 16:32:54",-1,"2016-08-30 08:42:45"
154,"Berlin - Worksop (2017)",DSG0073,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,111b849562cb231645c7a185acd66532,0,1,"2016-07-05 16:32:54",-1,"2016-08-30 08:42:45"
155,"Example site",TES0001,"Interserve Construction Ltd ( Paragon Div )",,,541,,,,,,"Strip out of office space",,,,,,,,,,,,,,,,,"2017-10-16 00:00:00","2017-12-20 00:00:00","9 weeks",TBC,500.00000000,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,0,0.00000000,1,1,27619d6bb904d5573a270b83ba91eefc,0,1,"2016-07-06 05:37:39",9,"2017-10-16 13:28:02"
156,"Virgin Active - Strand",PARWH0772016,"Interserve Construction Ltd ( Paragon Div )",1035,,189,19,,,,,,,,,,,180,,176,,,,"80 Strand","Shell Mex House",,London,"WC2R 0DT","2016-07-07 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,500.00000000,0,1,654250a2bcd30e18e59ef85bd38bed3a,0,11,"2016-07-06 10:49:16",7,"2017-02-03 14:13:35"
157,"Renault, Rickmansworth",PARWH0772017,"Interserve Construction Ltd ( Paragon Div )",6219,,55,267,,,,,,,,,,,174,,47,,176,,"Building 2","The Rivers Park",Rickmansworth,London,"WD3 9YS","2016-07-11 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,75e6ff645b1440a0388ab9bffb571249,0,11,"2016-07-07 16:06:18",7,"2016-12-05 09:49:57"
158,"Exchange House",PARWH0772018,"Interserve Construction Ltd ( Paragon Div )",6215,,7,,,,,,,,"Need reg number for services",,,,176,,,,,,"Exchange House","12 Primrose Street",,London,"EC2A 2HS","2016-07-08 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,500.00000000,0,1,377bb673b804163f50eed0933d88ca3a,0,7,"2016-07-08 09:14:47",11,"2017-05-18 15:12:19"
159,"Greystar Highbury",PARWH0772019,"Interserve Construction Ltd ( Paragon Div )",6221,,261,300,281,,,,,,,,,,180,,78,,231,,"Wedgewood House","309 Holloway Road",,London,"N7 9DS","2016-07-15 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,9e88d8ae167e8752c91824fa1d2ee01f,0,11,"2016-07-12 09:46:52",7,"2017-02-03 14:23:47"
160,"Paxton Avenue",PRO0001,"Pro Landscapes",,,262,,,,,,,,,,,,158,,,,,,"38 Paxton Avenue",Slough,,Slough,"SL1 2SY","2016-07-13 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,3103126bdd939cf3aea4eed00d8a8a2d,0,11,"2016-07-13 12:10:31",7,"2016-12-05 09:49:57"
161,WHSMITHS-maidstone,PARWH0772020,"Interserve Construction Ltd ( Paragon Div )",1012,,149,,,,,,,,,,,,220,,,,,,"38-42 Week street",Maidstone,"Access from Church Street from the back",Kent,"ME14 1RP","2016-07-14 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,32a0fa63041448a56ed352a98c076c13,0,11,"2016-07-13 14:10:56",-1,"2016-10-03 13:19:06"
162,"Overbury- The Mail Box, Birmingham. Phase 2.",OVETCL011510,"Overbury Central",,,78,,,,,,,"Please ensure the driver either visits the site office on arrival or calls the site contacts and awaits their arrival outside the building, the driver must be escorted to the skip by an Overbury operative, he cannot drive straight up to the skip (even if security allow the driver to enter, he must wait for the site contacts listed to escort him to the skip.) Please also ensure that an Overbury operative and the driver sign the ticket. The driver will also need to apply with all PPE requirements- hard hat, goggles, gloves, highvis, steeltoe cap boots. 
All services must be carried out between 1 and 5PM.","All services need to be 1-5PM unless Peter advises otherwise.
Peter is on holiday for 1 week, commencing 14/09/2016, contacts in this period are Ray Verel 07712870803 / Gary Turner 07557475644.
*12YD ENCLOSED SKIP NEEDS TO BE CHARGED £264 ON COLLECTION- ONLY £1 WAS CHARGED ON DELIVERY!*",,,,53,"12 x 1100 litre bins used as slave bins= £1.50 per bin, per day. £80 delivery and collection cost.",157,"16YD enclosed skip, mixed= £260.00
12Yd enclosed skip, mixed= £220.00 incl 2T. £140 per T after.",92,"8YD open, plasterboard= £165.00.","The Mail Box","Severn Street",,Birmingham,"B1 1RS","2016-07-18 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,500.00000000,0,1,b380f40e25ba1c09e863deb3a59c691a,0,9,"2016-07-15 08:17:14",9,"2017-03-23 14:06:13"
163,"CI - Curry's Norwich",DSG0074,"DSG Retail Plc (Currys)",,,112,,,,,,,,,,,,140,"40YD= �140 transport, �100 per T. Min 2T.",224,"12YD mixed= �255.",,,"Curry's, Unit 5, Sweetbriar Retail Park","Sweet Briar Road",,Norwich,"NR6 5DH","2016-07-19 00:00:00","2016-07-22 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,26289fa719fe665b31d8938972cef6d7,0,9,"2016-07-18 08:01:08",-1,"2016-10-26 11:03:39"
164,Rivergate,PARWH0772021,"Interserve Construction Ltd ( Paragon Div )",7154,,265,266,,,,,,,,,,,225,,,,,,"Rivergate House","New Bury Business Park","London Road",Newbury,"RG14 2PZ","2016-07-19 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,7d1cc0750a8d352cb7dd0ac478dbd95c,0,11,"2016-07-18 10:26:12",7,"2016-12-05 09:49:57"
165,"Purple Future",PARWH0772022,"Interserve Construction Ltd ( Paragon Div )",1039,,25,,,,,,,,,,,,227,,,,,,"Civic Centre",Portsmouth,,,"PO1 2AL","2016-07-21 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,1b6a4e078a80af901f6a85405491f518,0,11,"2016-07-19 15:05:41",-1,"2016-10-03 13:19:38"
166,"CI - Curry's PC World, Derby Kingsway",DSG0075,"DSG Retail Plc (Currys)",,,155,,,,,,,,,,,,172,"40YD mixed= �85 transport, �95 per T. Min 3T.",,,,,"Curry's PC World,","Kingsway Retail Park,",,"Derby,","DE22 3FA","2016-07-25 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,d98f13a8c27dc9ed62ebf935fc0d98c1,0,9,"2016-07-21 11:00:15",-1,"2016-10-26 11:05:11"
167,"City of London School for girls",PARWH0772023,"Interserve Construction Ltd ( Paragon Div )",1038,,221,,,,,,,"Additional site contacts if John Reynolds isn't on site- 
Colin- 07815269258
Danny 07466392925","EE states 1x 12YD enclosed, mixed, 1x 8YD open, plasterboard. O'Donovans think they should both be 12YD enclosed- Martin on site has confirmed this.
On the P/B exchange on 31/08/2016 O'Donovan's exchanged 12YD for an 8YD.",,,,134,,216,,176,,"St Giles Terrace","Access is via Wood Street/Fore Street off London Wall",,London,"EC2Y 8BB","2016-07-26 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,2008dc7d92b8264deab77ff34fe2d765,0,11,"2016-07-22 16:19:26",11,"2018-01-08 13:26:22"
168,"SWAS - Curry's PC World, Leeds Birstall.",DSG0076,"DSG Retail Plc (Currys)",,,112,,,,,,,,,,,,205,"40YD mixed= �85 transport, �85 per T. Min 3T.",,,,,"Curry's PC World","West Yorkshire Retail Park","Holdening Way",Leeds,"WF17 9AD","2016-08-08 00:00:00","2016-08-30 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,b5b80e044fa1b081178ec5dae2817619,0,9,"2016-07-25 10:56:52",-1,"2016-10-26 11:23:34"
169,"Victoria Street",LANSEC,"Land Securities",,,271,,,,,,,,"Watching Brief for Victoria Street - Invoicing purposes only - add one month per line add expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,0,1,feb5a8a430e93e9e779e51c26c9ec9d8,0,7,"2016-07-25 16:07:13",7,"2017-03-03 15:39:23"
170,"Collins- Victoria Street, Level 4 - Watching Brief",COLWIN0606,"Collins Construction Ltd",,,272,,,,,,,,"Audit and Watching Brief",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,0,1,fd8af666ca898b10fc6667ee50c2e861,0,7,"2016-07-25 16:08:54",7,"2017-01-16 08:59:20"
171,"Collins- Victoria Street, Level 3",COLWIN0607,"Collins Construction Ltd",,,272,,,,,,,,"Watching Brief and Audit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,0,1,9aaf7fe9301da269a7fdffca112a4444,0,7,"2016-07-25 16:10:03",7,"2017-03-03 15:39:47"
172,"Collins- Victoria Street, Reception",COLWIN0608,"Collins Construction Ltd",,,272,,,,,,,,"Watching Brief and Audit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,370cb868e7a3b56bb2348633167ec88f,0,7,"2016-07-25 16:11:27",7,"2017-01-16 09:00:01"
173,"Collins- Victoria Street, WC's",COLWIN0609,"Collins Construction Ltd",,,272,,,,,,,,"Watching Brief and Audit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,ef8da9c762754546bcb009474f153583,0,7,"2016-07-25 16:14:09",7,"2017-01-16 09:00:21"
174,"Paragon - Aspen Insurance - Plantation Place",PARWH0772024,"Interserve Construction Ltd ( Paragon Div )",8601,,522,57,,,,,,,,,,,134,,176,,,,"30 Fenchurch Street",,,London,"EC3M 3BD","2016-10-19 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,Other,Other,Client,Client,Client,Both,Encore,,,,,1,500.00000000,0,1,1878101eb5eeb53ee6c4d6561c988fbb,0,1,"2016-07-25 17:07:08",11,"2017-11-14 15:16:04"
175,"Collins- Southwark Street",COLWIN0610,"Collins Construction Ltd",,4,609,81,,,,,"CAT A and CAT B refurbishment of offices.","No services to take place before 8AM.","CC IN GEMMA ATKINSON AND JIM TIPPLE TO ALL MONTHLY REPORTS!!
Additional pricing for hardcore in cage- Small cage- £360.00 including one tonne, £225.00 per tonne if the waste contains hardcore. Large cage- £395.00 including two tonne, £225.00 per tonne if the waste contains hardcore.","-Generally good feeedback on the waste away service- vehicle on time, courtesey call beforehand from the driver to advise of ETA.",,"-Good segregation of all materials on site. 
Communication between Encore and site works well.
- Encore can provide services within short notice when possible.",180,"660 mixed empty, £13.50, min of 20. 
660 plasterboard empty, £17.00, min of 20. 
20YD mixed, £130 transport, £105 per T. Min 3T.",134,"16YD enclosed, mixed. £324.50
8YD mixed/hardcore £199.50
12YD mixed £279.50
12YD plasterbaord £150 trans, £100 per T. Min 1T.",135,"20YD mixed, £120.00 transport, £100.00 per tonne. Min 3T.","61 Southwark Street",,,London,"SE1 0HL","2016-07-11 00:00:00","2017-02-19 00:00:00","80 Weeks","19,000,000.00",8769.10000000,,,,"Econ Construction","Stephen Ralley","020 8302 4691",stephen.ralley@econconstruction.co.uk,0,"Econ Construction","Stephen Ralley","020 8302 4691",stephen.ralley@econconstruction.co.uk,"Gemma Atkinson",,gemma.atkinson@collins-construction.com,"Encore Environment Ltd",,14,15,1,"Method Consulting LLP","Barkley House
Hunts Rise
South Marston Park
Swindon
SN3 4TG

gorgie.james@methodllp.com","01793 836606","Very Good",,,,,0,,Client,Client,Client,Client,Client,Both,Encore,portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/175/Diversion-from-landfill.pdf,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/175/Southwark St, rate card.pdf",1,6000.00000000,0,1,a0d3e68832e85fa0a2e569dc95459d29,0,9,"2016-07-28 14:03:25",9,"2018-05-09 11:48:28"
176,"Berlin - Curry's, Nottingham Castle Meadow/Castle Marina Retail Park",DSG0077,"DSG Retail Plc (Currys)",,,122,125,154,,,,,,"Night shifts.",,,,172,"40YD mixed= �85 transport, �95 per T. Min 3T.

20YD plasterboard= �85 transport, �60 per T. Min 3T.",,,,,Curry's,"Unit 6C Castle Meadow Retail Park",,Nottingham,"NG7 1GX","2016-08-01 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,a75399a02337d2f323d323ce098da564,0,9,"2016-07-29 14:33:27",7,"2016-12-05 09:49:57"
177,"WHSmiths - stevenage",PARWH0772025,"Interserve Construction Ltd ( Paragon Div )",1032,,25,,,,,,,,,,,,47,,,,,,WHSmiths,Queensway,Stevenage,,"SG1 1EA","2016-08-09 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,2e6383afafe58eaf266653c02965f662,0,11,"2016-08-08 11:34:07",-1,"2016-10-03 13:20:31"
178,"Overbury- Baskerville House",OVETCL011511,"Overbury Central",,,277,318,,,,,,,"BREEAM site.",,,,206,"12YD enclosed skip, mixed construction= £205.00 without W/B, £215 with.
12YD open skip, mixed construction= £195.00
12YD plasterboard= £130 per T. Min 3T.
40YD wait and load, timber= 
£100.00 transport, up to 20 minutes loading, then £40.00 per 20 minutes thereafter. £80.00 per tonne on wood only waste.",213,"£1.90 per KG (35p per tube approx), £95 transport, £35 consignment note.
darren@aquaforce-recycling.co.uk",92,"8YD wait and load, plasterboard= £195.00","Baskerville House","Cambridge Street",,Birmingham,"B1 2ND","2016-08-11 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,66767b688a76b1ba3a6907209918e48c,0,9,"2016-08-09 14:02:25",7,"2017-02-03 14:36:33"
179,"Overbury Head Office kitchen refit.",OVETCL011512,"Overbury Central",,,80,287,,,,,,,"Skips must be on time.
Mark Ward other contact number 07795802260.",,,,206,"12YD open, mixed= £195.00
12YD enclosed, mixed= £205.00",53,,,,"Overbury Headoffice","207 Fort Dunlop","Fort Parkway",Birmingham,"B24 9FD","2016-08-12 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,00b108b793236c139119d0753172cb4f,0,9,"2016-08-09 14:34:44",7,"2017-02-03 14:36:56"
180,"Berlin - PC World, Stirling",DSG0078,"DSG Retail Plc (Currys)",,,165,122,,,,,,,"No services before 10.30AM.",,,,188,"40YD mixed= �140 transport, �85 per T. Min 2T.",232,"John mobile= 07392 195 819

20YD plasterboard= �120 transport, �70 per T. Min 1T.",233,"40YD metal= �40 transport, rebate.","PC World","Unit 3 Springkerse Retail Park","Muirton Road",Stirling,"FK7 7TL.","2016-08-15 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,59540ff8e7294784a470819c5555abb3,0,9,"2016-08-11 14:18:17",9,"2016-11-23 12:04:21"
181,"CI - Curry's PC World, Dundee",DSG0079,"DSG Retail Plc (Currys)",,,155,,,,,,,,,,,,100,"�320 incl 3T. �90 per T after.",,,,,"Curry's PC World","Unit 3","Kingsways West Retail Park",Dundee,"DD3 8RX.","2016-08-19 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,ca66dac8ae0ef194a91d4ef7a480fb75,0,9,"2016-08-15 12:55:58",-1,"2016-10-26 11:05:40"
182,"Canon street",6223,"Interserve Construction Ltd ( Paragon Div )",6223,,61,,,,,,,,,,,,176,,,,,,"100 Canon Street",London,,,"EC4N 6EU","2016-08-17 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,507c4f0fd2156abed79abcf6166a56fb,0,11,"2016-08-16 15:29:10",7,"2017-02-03 14:24:12"
183,"Southwark Street- Strip out",COLWIN0611,"Collins Construction Ltd",,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,0.00000000,1,1,58d263e4f829f93d9c569b6fb0347a86,0,7,"2016-08-17 11:25:05",9,"2017-07-31 16:01:17"
184,"Wells Terrace",PARWH0772026,"Interserve Construction Ltd ( Paragon Div )",4176,,69,70,,,,,,,,,,,176,,,,,,"Wells Terrace","Finsbury park Station",,London,"N4 3JU","2016-08-22 00:00:00","2016-09-26 00:00:00",,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,b40e08d8bb2230862774e6df62956179,0,11,"2016-08-18 11:45:00",7,"2016-12-05 09:49:57"
185,"Overbury- Goodyear Project",OVETCL011513,"Overbury Central",,,80,321,256,,,mark.ward@overbury.com,,,,,,,157,"16YD enclosed, mixed= £250 irrespective.
16YD enclosed, metal= Free, 50% rebate.",167,"10YD enclosed, mixed & plasterboard= £191.67",53,"£1.50 per bin, per day rental. £80 transport to be charged on delivery and collection.","Trident Park","Birmingham Business Park",,Birmingham,"B37 7YN","2016-08-30 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,85dd3176976182653b5c32f9b615f13b,0,9,"2016-08-18 13:41:03",7,"2017-02-03 14:37:27"
186,"Collins- Stratton Street",COLWIN0612,"Collins Construction Ltd",N/A,5,342,393,,,,,"Cat A Fit out, BREEAM New Construction 2011 Offices Scheme – to achieve ‘Very Good’ Rating","Please ensure Sam is called half an hour before the drivers arrival so they can bring the bins down.

Additional contact if Sam is unavailable, John- 07460610401","Consultancy fee to be charged at the start of each month= £500.00.
Make sure compactor and cage do not arrive on site at the same time.
Compactor every Wednesday and Saturday.",,"Improved segregation could help site.","Good communication between site and Encore- plenty of notice prodived for services.

Jeff Hermans very organised and assisted in waste away and BREEAM services.",180,,330,,176,,"10 Stratton Street",,,London,"W1J 8DA","2016-06-13 00:00:00","2017-04-01 00:00:00","37 weeks","Circa £8,000,000.00",4300.00000000,,,,N/A,,,,0,N/A,,,,"Sarah Graham","07341 775 494",s.graham@collins-construction.com,"Encore Environment",,14,15,1,TBC,,,"Very Good",,N/A,,,0,,,Client,Client,Client,Client,Both,Encore,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/186/Rate card- Stratton Street.pdf",1,3000.00000000,0,1,daa1a38926cda9ac217a6a2962a86ac1,0,9,"2016-08-19 14:12:11",9,"2017-06-12 09:27:03"
187,"Atrium - Milton Keynes",PARWH0772027,"Interserve Construction Ltd ( Paragon Div )",7155,,324,265,,,,,,,,,,,47,,121,,,,Atrium,"Foxhunter Drive","Linford Wood","Milton Keynes","MK14 6GE","2016-09-05 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,2000.00000000,0,1,bdd379a410c49c09c0984338820c1d96,0,11,"2016-08-22 10:13:28",7,"2017-03-03 15:40:18"
188,"The Shard",PARWH0772028,"Interserve Construction Ltd ( Paragon Div )",4168,,56,,,,,,,,,,,,180,,,,,,"32 London Bridge Street",London,,,"SE1 9SG","2016-08-23 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,d8ed04059f41bce594896c727b1f3938,0,11,"2016-08-22 11:51:08",7,"2017-02-03 14:20:09"
189,"WHSmiths - Harrow",PARWH0772029,"Interserve Construction Ltd ( Paragon Div )",1032,,20,,,,,,,,,,,,78,,,,,,"WHsmiths St anns Shopping Centre","Access Via Kimberley Road","West Service Yard",Harrow,"HA1 1AT","2016-08-24 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,27683f2eb3f41e63946f312b315a929e,0,11,"2016-08-22 12:42:54",7,"2016-12-05 09:49:58"
190,"SWAS - Bangor",DSG0080,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,22144eee9556b8742eba26d6e72ee729,0,9,"2016-08-25 07:52:20",-1,"2016-10-26 11:12:35"
191,"SWAS - Birmingham Black",DSG0081,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,de524444bb67d87b697e2916b21ec49a,0,9,"2016-08-25 07:52:37",-1,"2016-10-26 11:13:15"
192,"SWAS - Boston",DSG0082,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,bfe30004a5b04058b178d6c6f3120124,0,9,"2016-08-25 07:52:54",-1,"2016-10-26 11:14:13"
193,"SWAS - Burnley",DSG0083,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,27d6deb1f7eba2f72be633673d5b9923,0,9,"2016-08-25 07:53:09",-1,"2016-10-26 11:14:40"
194,"SWAS - Coatbridge",DSG0084,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,c96cb390663621cb0b77dc12d691e930,0,9,"2016-08-25 07:53:27",-1,"2016-10-26 11:18:35"
195,"SWAS - Colchester",DSG0085,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,42e88f2467ead51d0c4899a0ef213396,0,9,"2016-08-25 07:53:43",-1,"2016-10-26 11:19:06"
196,"Dixons Durham",DSG0086,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,28f9817ce06dca5e4a4acde972d7c306,0,9,"2016-08-25 07:54:05",-1,"2016-10-26 11:12:10"
197,"SWAS - Falkirk",DSG0087,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,7ee99c0187d87ec39aa502d37b345e7a,0,9,"2016-08-25 07:54:48",-1,"2016-10-26 11:32:21"
198,"SWAS - Glasgow",DSG0088,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,0c72d74508f5008ddc2528ea41a9bd80,0,9,"2016-08-25 07:55:23",-1,"2016-10-26 11:32:46"
199,"SWAS - Grimsby",DSG0089,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,cccc735d51b2a34ee752668b4f788430,0,9,"2016-08-25 07:55:41",-1,"2016-10-26 11:33:07"
200,"SWAS - Hartlepool",DSG0090,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,57f1f18c323a8f28be5a09fe4471a1e9,0,9,"2016-08-25 07:55:55",-1,"2016-10-26 11:33:33"
201,"SWAS - Huddersfield",DSG0091,"DSG Retail Plc (Currys)",,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,0,1,7129c1c6a9e332febc8f784522f4b0a3,0,9,"2016-08-25 07:56:13",-1,"2016-10-26 11:33:58"
